t,lwww,rwww
1.596,43.93268205080515,28.054261949194878
1.608,44.337214557272134,28.34246544272789
1.62,44.74289987082907,28.631820129170954
1.6320000000000001,45.14973840854277,28.92232559145726
1.6440000000000001,45.55773058720195,29.21398141279807
1.6560000000000001,45.96687682325654,29.506787176743483
1.668,46.37717753275688,29.80074246724314
1.68,46.78863313129316,30.095846868706857
1.692,47.20124403393478,30.392099966065242
1.704,47.615010655169854,30.68950134483017
1.716,48.029933408844805,30.988050591155215
1.728,48.44601270810399,31.28774729189602
1.74,48.86324896532954,31.588591034670475
1.752,49.281642592081134,31.89058140791888
1.764,49.701193999036086,32.193718000963926
1.776,50.12190359592942,32.4980004040706
1.788,50.54377179149413,32.80342820850589
1.8,50.9667989934016,33.11000100659842
1.812,51.39098560820216,33.41771839179786
1.824,51.81633204126576,33.72657995873426
1.836,52.2428386967229,34.036585303277114
1.848,52.67050597740568,34.34773402259433
1.86,53.099334284789045,34.66002571521096
1.872,53.52932401893222,34.97345998106779
1.8840000000000001,53.9604755784204,35.28803642157962
1.8960000000000001,54.39278936030653,35.603754639693484
1.9080000000000001,54.82626576005349,35.920614239946524
1.92,55.26090517147631,36.23861482852371
1.932,55.696707986684785,36.55775601331523
1.944,56.13367459602623,36.87803740397378
1.956,56.57180538802854,37.19945861197148
1.968,57.011100749343456,37.522019250656555
1.98,57.45156106469024,37.84571893530978
1.992,57.8931867167994,38.170557283200615
2.004,58.33597808635695,38.49653391364307
2.016,58.77993555194876,38.82364844805126
2.028,59.225059490005336,39.151900509994675
2.04,59.67135027474685,39.481289725253156
2.052,60.11880827812852,39.81181572187149
2.064,60.567433869786285,40.14347813021372
2.076,61.01722741698282,40.47627658301718
2.088,61.46818928455395,40.810210715446054
2.1,61.92031983485529,41.14528016514471
2.112,62.3736194277094,41.481484572290604
2.124,62.82808842035314,41.81882357964687
2.136,63.283727167385535,42.15729683261447
2.148,63.74053602071595,42.49690397928406
2.16,64.19851532951263,42.83764467048739
2.172,64.6576654401517,43.17951855984831
2.184,65.11798669616657,43.52252530383344
2.196,65.57947943819764,43.86666456180238
2.208,66.04214400394252,44.21193599605749
2.22,66.50598072810669,44.558339271893324
2.232,66.97098994235449,44.90587405764551
2.244,67.43717197526065,45.25454002473934
2.2560000000000002,67.90452715226222,45.604336847737784
2.2680000000000002,68.3730557956109,45.95526420438911
2.2800000000000002,68.84275822432592,46.307321775674076
2.2920000000000003,69.3136347541474,46.66050924585261
2.3040000000000003,69.78568569749,47.014826302510016
2.316,70.25891136339729,47.370272636602735
2.328,70.73331205749642,47.726847942503596
2.34,71.20888808195342,48.0845519180466
2.352,71.68563973542885,48.44338426457116
2.364,72.16356731303412,48.80334468696589
2.376,72.64267110628815,49.16443289371186
2.388,73.1229514030747,49.52664859692531
2.4,73.6044084876001,49.8899915123999
2.412,74.08704264035164,50.25446135964837
2.424,74.57085413805633,50.62005786194367
2.436,75.05584325364038,50.986780746359635
2.448,75.54201025618902,51.354629743810996
2.46,76.02935541090712,51.72360458909289
2.472,76.51787897908018,52.09370502091984
2.484,77.0075812180359,52.46493078196412
2.496,77.49846238110645,52.83728161889358
2.508,77.99052271759113,53.210757282408885
2.52,78.48376247271983,53.58535752728019
2.532,78.97818188761681,53.96108211238321
2.544,79.47378119926532,54.3379308007347
2.556,79.97056064047266,54.71590335952737
2.568,80.4685204398359,55.09499956016412
2.58,80.96766082170822,55.4752191782918
2.592,81.4679820061658,55.856561993834234
2.604,81.96948420897536,56.239027791024675
2.616,82.47216764156235,56.62261635843768
2.628,82.97603251097975,57.007327489020284
2.64,83.48107901987743,57.39316098012261
2.652,83.98730736647222,57.7801166335278
2.664,84.49471774451867,58.16819425548135
2.676,85.00331034328025,58.557393656719775
2.688,85.51308534750142,58.9477146524986
2.7,86.02404293738023,59.339157062619776
2.712,86.53618328854162,59.731720711458394
2.724,87.04950657201128,60.12540542798873
2.736,87.56401295419035,60.52021104580967
2.748,88.07970259683064,60.91613740316938
2.7600000000000002,88.59657565701055,61.313184342989466
2.7720000000000002,89.11463228711172,61.7113517128883
2.7840000000000003,89.63387263479626,62.11063936520376
2.7960000000000003,90.15429684298475,62.51104715701526
2.8080000000000003,90.67590504983488,62.912574950165116
2.82,91.19869738872079,63.31522261127921
2.832,91.72267398821302,63.71899001178698
2.844,92.24783497205934,64.12387702794068
2.856,92.77418045916602,64.529883540834
2.868,93.30171056358002,64.93700943642
2.88,93.83042539447179,65.34525460552824
2.892,94.36032505611871,65.75461894388131
2.904,94.89140964788936,66.16510235211067
2.916,95.42367926422838,66.57670473577164
2.928,95.95713399464213,66.9894260053579
2.94,96.491773923685,67.403266076315
2.952,97.02759913094647,67.81822486905354
2.964,97.56460969103884,68.23430230896118
2.976,98.10280567358572,68.65149832641428
2.988,98.64218714321126,69.06981285678876
3.0,99.18275415952998,69.48924584047003
3.012,99.72450677713748,69.90979722286254
3.024,100.0,70.33146695439825
3.036,100.0,70.75425499054471
3.048,100.0,71.17816129181213
3.06,100.0,71.60318582375992
3.072,100.0,72.02932855700243
3.084,100.0,72.45658946721393
3.096,100.0,72.88496853513293
3.108,100.0,73.31446574656573
3.12,100.0,73.74508109238924
3.132,100.0,74.17681456855311
3.144,100.0,74.54858195501754
3.156,100.0,74.61851539900125
3.168,100.0,74.3402015880672
3.18,100.0,74.10063996086656
3.192,100.0,73.83601446278271
3.204,100.0,73.61269502727427
3.216,100.0,73.43393865235608
3.228,100.0,73.2904108181163
3.24,100.0,73.11682433375803
3.2520000000000002,100.0,72.9761453196457
3.2640000000000002,100.0,72.8067498234478
3.2760000000000002,100.0,72.67162627165828
3.2880000000000003,100.0,72.5670811131287
3.3000000000000003,100.0,72.49134578973953
3.3120000000000003,100.0,72.38484214982367
3.3240000000000003,100.0,72.24566705569441
3.336,100.0,72.07542107385102
3.348,100.0,71.93889813486496
3.36,100.0,71.83604700590334
3.372,100.0,71.70002502042371
3.384,100.0,71.5324706730204
3.396,100.0,71.3981883966394
3.408,100.0,71.29714763844711
3.42,100.0,71.10106196197096
3.432,100.0,70.87635966309759
3.444,100.0,70.69118640120641
3.456,100.0,70.47672798422208
