t,x_dot,y_dot
5.86,0.70673438004204,-0.01323778197960257
5.88,0.8473360369224858,-0.038933293874499064
5.9,0.42329412571846525,-0.026374672360074403
5.92,0.7043673695144248,-0.05929023164464864
5.94,0.5619962888226193,-0.0627323994829787
5.96,0.7011228353468568,-0.08986374441537492
5.98,0.8394765065390719,-0.12154569432254458
6.0,0.5587367443510294,-0.08711161293021297
6.0200000000000005,0.8366346131355007,-0.13977369188448163
6.04,0.6937715863625571,-0.1353872547958379
6.0600000000000005,0.4143978783777924,-0.090265932697986
6.08,0.8257407680111406,-0.19402666023968784
6.1000000000000005,0.41008064904194397,-0.10820074625988996
6.12,0.5426504423361234,-0.15907759121794873
6.140000000000001,0.8085937744897076,-0.2562621093644357
6.16,0.5371728219544569,-0.17669335570068556
6.18,0.8028294031834027,-0.27378661439818597
6.2,0.6652139618306796,-0.23903787940546817
6.22,0.5289811371179232,-0.199885315040238
6.24,0.5245089669355774,-0.21134220165280881
6.26,0.6512398761311711,-0.2748369453727473
6.28,0.6451087594030014,-0.2889349604091873
6.3,0.5122480023157183,-0.23953531413727358
6.32,0.8941414892487787,-0.42405482417028906
6.34,0.5069174905238616,-0.2506189146817772
6.36,0.628452633726917,-0.3235676281194533
6.38,0.4955397530971517,-0.27242528461161597
6.4,0.3659633668414264,-0.21434634202603942
6.42,0.724836783886551,-0.44057439503947804
6.44,0.48000192363483185,-0.29895373538754155
6.46,0.7150838402778525,-0.4562337802189953
6.48,0.351208776245171,-0.23775183637187447
6.5,0.4594880813833857,-0.32961475340449464
6.5200000000000005,0.5675630946436749,-0.42133223992911195
6.54,0.5629477450977083,-0.4274793083817563
6.5600000000000005,0.6670800816559352,-0.5239258778656608
6.58,0.329222686523889,-0.26736858994252377
6.6000000000000005,0.5388835840516415,-0.4574420243537103
6.62,0.4250802998977954,-0.37293688639510325
6.640000000000001,0.6314994779670347,-0.5663060746334603
6.66,0.6190342256218839,-0.5799058443817728
6.68,0.4084609461888489,-0.391068840530423
6.7,0.5025346592830049,-0.4970992245261041
6.72,0.2949630020208316,-0.3047463989101662
6.74,0.6804737037690467,-0.7185172476544655
6.76,0.4804428076855327,-0.5184818524773593
6.78,0.4747761531899597,-0.5236757844003515
6.8,0.46327508147203655,-0.533877253394649
6.82,0.17943648995883965,-0.218509363003222
6.84,0.5239258778656719,-0.6670800816559352
6.86,0.42747930838176185,-0.5629477450977305
6.88,0.4213322399290842,-0.5675630946436527
6.9,0.49442213010673086,-0.689232122075073
6.92,0.24155700842227734,-0.3486025701166573
6.94,0.309322002438317,-0.47338682005610977
6.96,0.4405743950394836,-0.724836783886551
6.98,2.220446049250313e-14,-2.7755575615628914e-14
7.0,0.24509160653984896,-0.5096128795458232
7.0200000000000005,0.29593313005531474,-0.6419285827417243
7.04,0.1691415729816903,-0.3889275877321352
7.0600000000000005,0.32555023997915544,-0.7832695590209993
7.08,0.2113422016527977,-0.5245089669355718
7.1000000000000005,0.3084388753388678,-0.7901643000155556
7.12,0.24625763405436984,-0.6625752036373889
7.140000000000001,0.23903787940546817,-0.6652139618306963
7.16,0.22451442218991424,-0.6702551730750406
7.18,0.2098847648112745,-0.6749793391692072
7.2,0.2025322717326139,-0.6772218260747143
7.22,0.18775630418215172,-0.6814662816640227
7.24,0.14129252903292144,-0.5475505491137345
7.26,0.13532981990667103,-0.5490546625240011
7.28,0.18503564524243732,-0.8278018910519103
7.3,0.11132602318306706,-0.5544201467817811
7.32,0.1278348098677773,-0.6952028367255475
7.34,0.13977369188447053,-0.8366346131354951
7.36,0.06305421052645865,-0.41940160555813677
7.38,0.11240959539120521,-0.8407486209940418
7.4,0.0822340498935148,-0.702058604279801
7.42,0.0745946304643974,-0.7029113485433169
7.44,0.07574309239115617,-0.8448414909285995
7.46,0.044367573374271,-0.5637434709406253
7.48,0.05735175744183696,-0.8462889203798729
7.5,0.036283313999407873,-0.7059265145398341
7.5200000000000005,0.028604549907673693,-0.7062793374648352
7.54,0.020496414019599563,-0.8479823452476665
7.5600000000000005,0.007515862054896516,-0.5654367289209705
7.58,0.002049838918893876,-0.8482275396377054
7.6000000000000005,-0.00853970492298295,-0.2826143469264297
7.62,-0.035507202276297,-0.5643708188609681
7.640000000000001,-0.047772612846852525,-0.5634651365054283
7.66,-0.08084580945890707,-0.8443684716593763
7.68,-0.099675026659507,-0.9845691371145521
7.7,-0.099675026659507,-0.9845691371145645
7.72,-0.0711964476139304,-0.7032636693675389
7.74,-0.12003085188274643,-1.1245858459795448
7.76,-0.07883989929886592,-0.7024478579109247
7.78,-0.0991898223289489,-0.8424105531068606
7.8,-0.12106363845110213,-0.9821685660532306
7.82,-0.10834477566785683,-0.8412820991943722
7.84,-0.10834477566785683,-0.8412820991943722
7.86,-0.13173710103258074,-0.9807939808693988
7.88,-0.11748691627413432,-0.840054156196976
7.9,-0.10171070323650167,-0.6995024343433582
7.92,-0.15303602855716303,-0.977697023960675
7.94,-0.18097124849920654,-1.1164005274084188
7.96,-0.135728436374416,-0.8373003955563233
7.98,-0.135728436374416,-0.8373003955563408
8.0,-0.16365897471279922,-0.9759750184784549
8.02,-0.1448256586465302,-0.8357749035697178
8.040000000000001,-0.1448256586465524,-0.8357749035697595
8.06,-0.17426256674017981,-0.9741375952765543
8.08,-0.15390575399742978,-0.8341505737730361
8.1,-0.153905753997452,-0.8341505737730667
8.120000000000001,-0.1848455506703317,-0.9721849716465794
8.14,-0.10864509908341535,-0.554951732171774
8.16,-0.2172901981668307,-1.109903464343541
8.18,-0.17201027088000753,-0.8306061807807726
8.2,-0.30706763209780163,-1.5244701662199587
8.22,-0.054322549541696574,-0.27747586608586894
8.24,-0.1395761964080977,-0.6929409846454709
8.26,-0.09276786498491063,-0.41384497512473306
8.28,-0.1695768848740009,-0.6862160031080422
8.3,-0.2374076388235835,-0.9607024043512546
8.32,-0.20796668560341125,-0.8223405733141176
8.34,-0.2374076388235835,-0.960702404351238
8.36,-0.2653490958101523,-1.0994046514973155
8.38,-0.1695768848740009,-0.6862160031080422
8.4,-0.23740763882360572,-0.9607024043512602
8.42,-0.2653490958101523,-1.0994046514973015
8.44,-0.1695768848740009,-0.6862160031080672
8.46,-0.2374076388235835,-0.9607024043512546
8.48,-0.2653490958101523,-1.099404651497296
8.5,-0.23740763882360572,-0.9607024043512796
8.52,-0.1695768848740009,-0.6862160031080422
8.540000000000001,-0.2653490958101523,-1.0994046514973044
8.56,-0.23740763882360572,-0.9607024043512713
8.58,-0.1695768848740009,-0.6862160031080311
8.6,-0.2653490958101523,-1.0994046514972988
8.620000000000001,-0.23740763882360572,-0.9607024043512713
8.64,-0.20796668560338905,-0.8223405733140898
8.66,-0.23740763882360572,-0.9607024043512602
8.68,-0.2653490958101523,-1.099404651497321
8.700000000000001,-0.20796668560338905,-0.8223405733140898
8.72,-0.24784078764121809,-0.958063902189954
8.74,-0.23740763882360572,-0.9607024043512602
8.76,-0.2653490958101523,-1.099404651497321
8.78,-0.401994081601309,-1.793328225540508
8.8,-0.2172901981668307,-1.109903464343559
8.82,-0.1395761964080977,-0.6929409846454349
8.84,-0.28668378480001255,-1.3843436346345994
8.86,-0.1848455506703317,-0.9721849716465947
8.88,-0.17426256674017981,-0.9741375952765807
8.9,-0.17426256674017981,-0.974137595276553
